name,phone
Abraham  Ralph,202-225-8490
Adams  Alma,202-225-1510
Aderholt  Robert,202-225-4876
Aguilar  Pete,202-225-3201
Allen  Rick,202-225-2823
Amash  Justin,202-225-3831
Amodei  Mark,202-225-6155
Arrington  Jodey,202-225-4005
Babin  Brian,202-225-1555
Bacon  Don,202-225-4155
Banks  Jim,202-225-4436
Barletta  Lou,202-225-6511
Barr  Andy,202-225-4706
Barragán  Nanette,202-225-8220
Barton  Joe,202-225-2002
Bass  Karen,202-225-7084
Beatty  Joyce,202-225-4324
Becerra  Xavier,202-225-6235
Bera  Ami,202-225-5716
Bergman  Jack,202-225-4735
Beutler  Jaime Herrera,202-225-3536
Beyer  Don,202-225-4376
Biggs  Andy,202-225-2635
Bilirakis  Gus M.,202-225-5755
Bishop  Mike,202-225-4872
Bishop  Rob,202-225-0453
Bishop Jr.  Sanford D.,202-225-3631
Black  Diane,202-225-4231
Blackburn  Marsha,202-225-2811
Blum  Rod,202-225-2911
Blumenauer  Earl,202-225-4811
Blunt Rochester  Lisa,202-225-4165
Bonamici  Suzanne,202-225-0855
Bordallo  Madeleine,202-225-1188
Bost  Mike,202-225-5661
Boyle  Brendan,202-225-6111
Brady  Kevin,202-225-4901
Brady  Robert,202-225-4731
Brat  Dave,202-225-2815
Bridenstine  Jim,202-225-2211
Brooks  Mo,202-225-4801
Brooks  Susan W.,202-225-2276
Brown  Anthony,202-225-8699
Brownley  Julia,202-225-5811
Buchanan  Vern,202-225-5015
Buck  Ken,202-225-4676
Bucshon  Larry,202-225-4636
Budd  Ted,202-225-4531
Burgess  Michael,202-225-7772
Bustos  Cheri,202-225-5905
Butterfield  G.K.,202-225-3101
Byrne  Bradley,202-225-4931
Calvert  Ken,202-225-1986
Capuano  Michael E.,202-225-5111
Carbajal  Salud,202-225-3601
Carson  André,202-225-4011
Carter  Buddy,202-225-5831
Carter  John,202-225-3864
Cartwright  Matthew,202-225-5546
Castor  Kathy,202-225-3376
Castro  Joaquin,202-225-3236
Chabot  Steve,202-225-2216
Chaffetz  Jason,202-225-7751
Cheney  Liz,202-225-2311
Chu  Judy,202-225-5464
Cicilline  David,202-225-4911
Clark  Katherine,202-225-2836
Clarke  Yvette D.,202-225-6231
"Clay Jr.  William ""Lacy""",202-225-2406
Cleaver  Emanuel,202-225-4535
Clyburn  James E.,202-225-3315
Coffman  Mike,202-225-7882
Cohen  Steve,202-225-3265
Cole  Tom,202-225-6165
Collins  Chris,202-225-5265
Collins  Doug,202-225-9893
Comer  James,202-225-3115
Comstock  Barbara,202-225-5136
Conaway  K. Michael,202-225-3605
"Connolly  Gerald E. ""Gerry""",202-225-1492
Conyers Jr.  John,202-225-5126
Cook  Paul,202-225-5861
Cooper  Jim,202-225-4311
Correa  J. Luis,202-225-2965
Costa  Jim,202-225-3341
Costello  Ryan,202-225-4315
Courtney  Joe,202-225-2076
Cramer  Kevin,202-225-2611
Crawford  Rick,202-225-4076
Crist  Charlie,202-225-5961
Crowley  Joseph,202-225-3965
Cuellar  Henry,202-225-1640
Culberson  John,202-225-2571
Cummings  Elijah,202-225-4741
Curbelo  Carlos,202-225-2778
Cárdenas  Tony,202-225-6131
Davidson  Warren,202-225-6205
Davis  Danny K.,202-225-5006
Davis  Rodney,202-225-2371
Davis  Susan,202-225-2040
DeFazio  Peter,202-225-6416
DeGette  Diana,202-225-4431
Delaney  John,202-225-2721
DeLauro  Rosa L.,202-225-3661
DelBene  Suzan,202-225-6311
Demings  Val,202-225-2176
